Institution,State,Institution Type,MSI,10yr Earnings Premium,Meets Threshold 1
Navarro College,TX,2-Year,Non-MSI,38716,FALSE
Lone Star College System,TX,4-year,HSI,42466,FALSE
University of North Texas,TX,4-year,HSI,57010,TRUE
Northeast Texas Community College,TX,2-Year,HSI,37870,FALSE
Oblate School of Theology,TX,4-year,Non-MSI,NA,NA
Ocean Corporation,TX,Less-than-2-year,Non-MSI,53474,TRUE
Odessa College,TX,4-year,HSI,42026,FALSE
Ogle School Hair Skin Nails-Arlington,TX,Less-than-2-year,Non-MSI,31055,FALSE
Ogle School Hair Skin Nails-Ft Worth,TX,Less-than-2-year,Non-MSI,26885,FALSE
Our Lady of the Lake University,TX,4-year,HSI,48675,FALSE
The University of Texas Rio Grande Valley,TX,4-year,HSI,49620,FALSE
Texas Southmost College,TX,2-Year,HSI,41900,FALSE
Panola College,TX,2-Year,Non-MSI,36072,FALSE
Paris Junior College,TX,2-Year,Non-MSI,36515,FALSE
Paul Quinn College,TX,4-year,HBCU,29288,FALSE
Prairie View A & M University,TX,4-year,HBCU,45411,FALSE
Ranger College,TX,2-Year,HSI,35552,FALSE
Aviation Institute of Maintenance-Houston,TX,2-Year,Non-MSI,58327,TRUE
Rice University,TX,4-year,Non-MSI,89718,TRUE
Saint Edward's University,TX,4-year,HSI,58826,TRUE
St Philip's College,TX,2-Year,HBCU,38224,FALSE
University of St Thomas,TX,4-year,AANAPII,59224,TRUE
Sam Houston State University,TX,4-year,HSI,54211,TRUE
San Antonio College,TX,4-year,HSI,39711,FALSE
San Jacinto Community College,TX,4-year,HSI,43062,FALSE
Schreiner University,TX,4-year,HSI,52228,TRUE
Seguin Beauty School-Seguin,TX,Less-than-2-year,Non-MSI,21891,FALSE
St. Mary's University,TX,4-year,HSI,56955,TRUE
South Plains College,TX,2-Year,HSI,41276,FALSE
South Texas Barber College Inc,TX,Less-than-2-year,Non-MSI,25734,FALSE
South Texas College of Law Houston,TX,4-year,Non-MSI,NA,NA
South Texas Vocational Technical Institute-Weslaco,TX,Less-than-2-year,Non-MSI,29737,FALSE
Miller-Motte College-STVT-McAllen,TX,Less-than-2-year,Non-MSI,31102,FALSE
Southern Methodist University,TX,4-year,Non-MSI,78354,TRUE
Southwest School of Business and Technical Careers-San Antonio,TX,Less-than-2-year,Non-MSI,24251,FALSE
Southwest Texas Junior College,TX,2-Year,HSI,35563,FALSE
Southwestern Assemblies of God University,TX,4-year,HSI,46238,FALSE
Southwestern University,TX,4-year,HSI,56878,TRUE
Stephen F Austin State University,TX,4-year,Non-MSI,49634,FALSE
Texas State University,TX,4-year,HSI,56906,TRUE
Southwestern Adventist University,TX,4-year,HSI,52946,TRUE
Southwestern Christian College,TX,4-year,HBCU,32672,FALSE
Sul Ross State University,TX,4-year,HSI,41871,FALSE
Tarleton State University,TX,4-year,Non-MSI,53040,TRUE
Tarrant County College District,TX,2-Year,HSI,42727,FALSE
Temple College,TX,2-Year,HSI,38678,FALSE
University of Texas Southwestern Medical Center,TX,4-year,Non-MSI,76860,TRUE
The University of Texas Health Science Center at San Antonio,TX,4-year,HSI,82206,TRUE
The University of Texas Medical Branch at Galveston,TX,4-year,Non-MSI,92961,TRUE
Texarkana College,TX,2-Year,Non-MSI,34647,FALSE
Texas A & M University-Kingsville,TX,4-year,HSI,51450,FALSE
Texas A & M University-College Station,TX,4-year,AANAPII,72097,TRUE
The University of Texas at Arlington,TX,4-year,AANAPII,63199,TRUE
The University of Texas at Austin,TX,4-year,AANAPII,75121,TRUE
The University of Texas at Dallas,TX,4-year,Non-MSI,68227,TRUE
The University of Texas at El Paso,TX,4-year,HSI,50923,FALSE
The University of Texas at Tyler,TX,4-year,Non-MSI,57053,TRUE
Texas Chiropractic College Foundation Inc,TX,4-year,Non-MSI,NA,NA
Texas Christian University,TX,4-year,Non-MSI,68424,TRUE
Texas College,TX,4-year,HBCU,33752,FALSE
University of North Texas Health Science Center,TX,4-year,Non-MSI,93615,TRUE
Texas Lutheran University,TX,4-year,HSI,53863,TRUE
The University of Texas Permian Basin,TX,4-year,HSI,56073,TRUE
The University of Texas at San Antonio,TX,4-year,HSI,57131,TRUE
Texas Southern University,TX,4-year,HBCU,38924,FALSE
Texas Tech University,TX,4-year,HSI,62454,TRUE
Texas Wesleyan University,TX,4-year,HSI,54053,TRUE
Texas Woman's University,TX,4-year,HSI,56544,TRUE
Trinity University,TX,4-year,Non-MSI,71668,TRUE
The University of Texas Health Science Center at Houston,TX,4-year,Non-MSI,88757,TRUE
Texas Tech University Health Sciences Center,TX,4-year,HSI,92348,TRUE
Tyler Junior College,TX,4-year,HSI,38140,FALSE
Universal Technical Institute of Texas Inc.,TX,2-Year,Non-MSI,51222,FALSE
UCAS University of Cosmetology Arts & Sciences-McAllen,TX,Less-than-2-year,Non-MSI,19880,FALSE
Vernon College,TX,2-Year,HSI,40464,FALSE
Victoria Beauty & Barber College,TX,Less-than-2-year,Non-MSI,18831,FALSE
Victoria College,TX,2-Year,HSI,42382,FALSE
Vogue College of Cosmetology-McAllen,TX,Less-than-2-year,Non-MSI,NA,NA
Wayland Baptist University,TX,4-year,HSI,51838,FALSE
Weatherford College,TX,4-year,Non-MSI,42397,FALSE
West Texas A & M University,TX,4-year,HSI,50741,FALSE
Western Texas College,TX,2-Year,HSI,42508,FALSE
Wharton County Junior College,TX,2-Year,AANAPII,44960,FALSE
Wiley University,TX,4-year,HBCU,33159,FALSE
Bridgerland Technical College,UT,Less-than-2-year,Non-MSI,38347,FALSE
Brigham Young University,UT,4-year,Non-MSI,75790,TRUE
Brigham Young University-Hawaii,HI,4-year,Non-MSI,52064,TRUE
Cameo College of Essential Beauty,UT,Less-than-2-year,Non-MSI,32364,FALSE
Collectiv Academy,UT,Less-than-2-year,Non-MSI,29334,FALSE
Davis Technical College,UT,Less-than-2-year,Non-MSI,41734,FALSE
Utah Tech University,UT,4-year,Non-MSI,44570,FALSE
Evans Hairstyling College-Cedar City,UT,2-Year,Non-MSI,NA,NA
Evans Hairstyling College-St George,UT,2-Year,Non-MSI,16916,FALSE
Paul Mitchell the School-Salt Lake City,UT,Less-than-2-year,Non-MSI,26893,FALSE
Eagle Gate College-Murray,UT,4-year,Non-MSI,37518,FALSE
Ensign College,UT,4-year,Non-MSI,50630,TRUE
Ogden-Weber Technical College,UT,Less-than-2-year,Non-MSI,35032,FALSE
Snow College,UT,4-year,Non-MSI,41022,FALSE
Southern Utah University,UT,4-year,Non-MSI,50296,TRUE
Uintah Basin Technical College,UT,Less-than-2-year,Non-MSI,28178,FALSE
Utah State University,UT,4-year,Non-MSI,54022,TRUE
Utah Valley University,UT,4-year,Non-MSI,55486,TRUE
Salt Lake Community College,UT,2-Year,Non-MSI,47867,FALSE
University of Utah,UT,4-year,Non-MSI,67170,TRUE
Weber State University,UT,4-year,Non-MSI,56287,TRUE
Westminster University,UT,4-year,Non-MSI,66215,TRUE
Bennington College,VT,4-year,Non-MSI,38289,FALSE
Castleton University,VT,4-year,Non-MSI,51061,TRUE
Champlain College,VT,4-year,Non-MSI,58386,TRUE
Community College of Vermont,VT,2-Year,Non-MSI,36234,FALSE
Goddard College,VT,4-year,Non-MSI,25552,FALSE
Northern Vermont University,VT,4-year,Non-MSI,40903,FALSE
Middlebury College,VT,4-year,Non-MSI,76310,TRUE
Norwich University,VT,4-year,Non-MSI,65575,TRUE
O'Briens Aveda Institute,VT,Less-than-2-year,Non-MSI,NA,NA
Saint Michael's College,VT,4-year,Non-MSI,61317,TRUE
SIT Graduate Institute,VT,4-year,Non-MSI,NA,NA
Sterling College,VT,4-year,Non-MSI,30573,FALSE
Vermont Law and Graduate School,VT,4-year,Non-MSI,NA,NA
Vermont State University,VT,4-year,Non-MSI,50331,TRUE
University of Vermont,VT,4-year,Non-MSI,62472,TRUE
Paul Mitchell the School-Roanoke,VA,Less-than-2-year,Non-MSI,19217,FALSE
Advanced Technology Institute,VA,2-Year,Non-MSI,46342,FALSE
Averett University,VA,4-year,Non-MSI,51516,FALSE
Blue Ridge Community College,VA,2-Year,Non-MSI,42644,FALSE
Bluefield University,VA,4-year,Non-MSI,48896,FALSE
Bridgewater College,VA,4-year,Non-MSI,53453,FALSE
William & Mary,VA,4-year,Non-MSI,73490,TRUE
Regent University,VA,4-year,Non-MSI,44498,FALSE
Central School of Practical Nursing,VA,Less-than-2-year,Non-MSI,59399,TRUE
Central Virginia Community College,VA,2-Year,Non-MSI,36627,FALSE
Christopher Newport University,VA,4-year,Non-MSI,60509,TRUE
Bryant & Stratton College-Virginia Beach,VA,4-year,PBI,32568,FALSE
Mountain Gateway Community College,VA,2-Year,Non-MSI,34293,FALSE
Danville Community College,VA,2-Year,Non-MSI,31664,FALSE
Eastern Virginia Medical School,VA,4-year,Non-MSI,NA,NA
Centura College-Virginia Beach,VA,2-Year,Non-MSI,25930,FALSE
Emory & Henry University,VA,4-year,Non-MSI,47385,FALSE
Eastern Mennonite University,VA,4-year,Non-MSI,54869,FALSE
Eastern Shore Community College,VA,2-Year,Non-MSI,32418,FALSE
Ferrum College,VA,4-year,Non-MSI,44296,FALSE
George Mason University,VA,4-year,AANAPII,76343,TRUE
Germanna Community College,VA,2-Year,Non-MSI,39644,FALSE
Hampden-Sydney College,VA,4-year,Non-MSI,67640,TRUE
Hampton University,VA,4-year,HBCU,59159,TRUE
Hollins University,VA,4-year,Non-MSI,40075,FALSE
J Sargeant Reynolds Community College,VA,2-Year,Non-MSI,39529,FALSE
James Madison University,VA,4-year,Non-MSI,69954,TRUE
Brightpoint Community College,VA,2-Year,Non-MSI,41223,FALSE
Liberty University,VA,4-year,Non-MSI,44813,FALSE
Longwood University,VA,4-year,Non-MSI,52347,FALSE
Laurel Ridge Community College,VA,2-Year,Non-MSI,41000,FALSE
University of Lynchburg,VA,4-year,Non-MSI,56380,TRUE
Centra College,VA,4-year,Non-MSI,60122,TRUE
Mary Baldwin University,VA,4-year,Non-MSI,44427,FALSE
University of Mary Washington,VA,4-year,Non-MSI,60613,TRUE
Marymount University,VA,4-year,Non-MSI,67516,TRUE
Sovah School of Health Professions,VA,2-Year,Non-MSI,69924,TRUE
Mountain Empire Community College,VA,2-Year,Non-MSI,32622,FALSE
American National University,VA,4-year,Non-MSI,26370,FALSE
New River Community College,VA,2-Year,Non-MSI,40025,FALSE
Sentara College of Health Sciences,VA,4-year,Non-MSI,77821,TRUE
Tidewater Tech-Trades,VA,Less-than-2-year,Non-MSI,31657,FALSE
Norfolk State University,VA,4-year,HBCU,44666,FALSE
Northern Virginia Community College,VA,2-Year,AANAPII,53557,FALSE
Old Dominion University,VA,4-year,Non-MSI,54914,FALSE
Patrick & Henry Community College,VA,2-Year,Non-MSI,33323,FALSE
Paul D Camp Community College,VA,2-Year,Non-MSI,36031,FALSE
Southside College of Health Sciences,VA,2-Year,Non-MSI,71380,TRUE
Piedmont Virginia Community College,VA,2-Year,Non-MSI,40752,FALSE
Radford University,VA,4-year,Non-MSI,53739,FALSE
Sylvain Melloul International Hair Academy,VA,Less-than-2-year,Non-MSI,17106,FALSE
Randolph-Macon College,VA,4-year,Non-MSI,58448,TRUE
Randolph College,VA,4-year,Non-MSI,53409,FALSE
Rappahannock Community College,VA,2-Year,Non-MSI,36121,FALSE
Fortis College-Norfolk,VA,2-Year,Non-MSI,32754,FALSE
Richard Bland College,VA,2-Year,Non-MSI,41452,FALSE
Bon Secours Memorial College of Nursing,VA,4-year,Non-MSI,77014,TRUE
University of Richmond,VA,4-year,Non-MSI,76178,TRUE
Riverside College of Health Careers,VA,4-year,Non-MSI,66072,TRUE
Roanoke College,VA,4-year,Non-MSI,58047,TRUE
Bon Secours St Mary's Hospital School of Medical Imaging,VA,2-Year,Non-MSI,65432,TRUE
Shenandoah University,VA,4-year,Non-MSI,58433,TRUE
Southeastern Free Will Baptist Bible College,NC,4-year,Non-MSI,NA,NA
Southern Virginia University,VA,4-year,Non-MSI,50002,FALSE
Southside Virginia Community College,VA,2-Year,Non-MSI,32371,FALSE
Southwest Virginia Community College,VA,2-Year,Non-MSI,34221,FALSE
Staunton School of Cosmetology,VA,Less-than-2-year,Non-MSI,22660,FALSE
Strayer University-Virginia,VA,4-year,Non-MSI,40092,FALSE
Sweet Briar College,VA,4-year,Non-MSI,51943,FALSE
Virginia Peninsula Community College,VA,2-Year,Non-MSI,37996,FALSE
Tidewater Community College,VA,2-Year,Non-MSI,38349,FALSE
Union Presbyterian Seminary,VA,4-year,Non-MSI,NA,NA
University of Virginia's College at Wise,VA,4-year,Non-MSI,45325,FALSE
Virginia Highlands Community College,VA,2-Year,Non-MSI,32681,FALSE
Virginia Polytechnic Institute and State University,VA,4-year,AANAPII,81698,TRUE
Virginia Western Community College,VA,2-Year,Non-MSI,38787,FALSE
Virginia Commonwealth University,VA,4-year,AANAPII,58128,TRUE
University of Virginia-Main Campus,VA,4-year,Non-MSI,86863,TRUE
Virginia Military Institute,VA,4-year,Non-MSI,77369,TRUE
Asher Institute of Hampton,VA,Less-than-2-year,Non-MSI,18710,FALSE
Virginia University of Lynchburg,VA,4-year,HBCU,28396,FALSE
Virginia State University,VA,4-year,HBCU,45543,FALSE
Virginia Union University,VA,4-year,HBCU,38275,FALSE
Virginia Wesleyan University,VA,4-year,Non-MSI,50074,FALSE
Washington and Lee University,VA,4-year,Non-MSI,94810,TRUE
Wytheville Community College,VA,2-Year,Non-MSI,34303,FALSE
Bellevue College,WA,4-year,AANAPII,56310,FALSE
Bellingham Technical College,WA,4-year,Non-MSI,49748,FALSE
Big Bend Community College,WA,4-year,HSI,43814,FALSE
Central Washington University,WA,4-year,Non-MSI,61580,TRUE
Centralia College,WA,4-year,Non-MSI,43140,FALSE
City University of Seattle,WA,4-year,Non-MSI,69460,TRUE
Paul Mitchell the School-Richland,WA,Less-than-2-year,Non-MSI,27407,FALSE
Clark College,WA,4-year,Non-MSI,42356,FALSE
Clover Park Technical College,WA,4-year,Non-MSI,41787,FALSE
Columbia Basin College,WA,4-year,HSI,46680,FALSE
Cornish College of the Arts,WA,4-year,Non-MSI,33696,FALSE
Divers Institute of Technology,WA,Less-than-2-year,Non-MSI,62489,TRUE
Eastern Washington University,WA,4-year,Non-MSI,57897,FALSE
Edmonds College,WA,4-year,AANAPII,48144,FALSE
Everett Community College,WA,2-Year,Non-MSI,45434,FALSE
The Evergreen State College,WA,4-year,Non-MSI,45320,FALSE
Pierce College District,WA,4-year,AANAPII,47532,FALSE
Glen Dow Academy of Hair Design,WA,Less-than-2-year,Non-MSI,22925,FALSE
Gonzaga University,WA,4-year,Non-MSI,78892,TRUE
Grays Harbor College,WA,4-year,Non-MSI,40865,FALSE
Green River College,WA,4-year,AANAPII,50712,FALSE
Toni & Guy Hairdressing Academy-Shoreline,WA,Less-than-2-year,Non-MSI,29827,FALSE
Heritage University,WA,4-year,HSI,49416,FALSE
Highline College,WA,4-year,Non-MSI,47869,FALSE
International Air and Hospitality Academy,WA,Less-than-2-year,Non-MSI,52574,FALSE
Bastyr University,WA,4-year,Non-MSI,49364,FALSE
Highlights Beauty Schools,WA,Less-than-2-year,Non-MSI,31123,FALSE
Bates Technical College,WA,2-Year,Non-MSI,50051,FALSE
Lake Washington Institute of Technology,WA,4-year,AANAPII,50669,FALSE
Lower Columbia College,WA,4-year,Non-MSI,40691,FALSE
BJ's Beauty & Barber College,WA,Less-than-2-year,Non-MSI,23216,FALSE
North Seattle College,WA,4-year,AANAPII,47728,FALSE
Northwest University,WA,4-year,Non-MSI,54914,FALSE
Olympic College,WA,4-year,Non-MSI,43169,FALSE
Perry Technical Institute,WA,2-Year,HSI,57764,FALSE
Pacific Lutheran University,WA,4-year,AANAPII,66990,TRUE
Peninsula College,WA,4-year,Non-MSI,37078,FALSE
University of Puget Sound,WA,4-year,Non-MSI,69594,TRUE
Renton Technical College,WA,4-year,AANAPII,49782,FALSE
Saint Martin's University,WA,4-year,AANAPII,62092,TRUE
South Seattle College,WA,4-year,AANAPII,44486,FALSE
Seattle Central College,WA,4-year,AANAPII,43307,FALSE
Seattle Pacific University,WA,4-year,Non-MSI,64506,TRUE
Seattle University,WA,4-year,AANAPII,75272,TRUE
Shoreline Community College,WA,2-Year,AANAPII,52009,FALSE
Skagit Valley College,WA,4-year,HSI,43505,FALSE
South Puget Sound Community College,WA,2-Year,Non-MSI,45039,FALSE
Spokane Community College,WA,4-year,Non-MSI,41984,FALSE
Spokane Falls Community College,WA,4-year,Non-MSI,38955,FALSE
Stylemaster College of Hair Design,WA,Less-than-2-year,Non-MSI,20580,FALSE
Tacoma Community College,WA,4-year,Non-MSI,47168,FALSE
Walla Walla Community College,WA,4-year,HSI,43526,FALSE
Walla Walla University,WA,4-year,Non-MSI,61885,TRUE
Washington State University,WA,4-year,Non-MSI,68905,TRUE
University of Washington-Seattle Campus,WA,4-year,AANAPII,78466,TRUE
Wenatchee Valley College,WA,4-year,HSI,41127,FALSE
Western Washington University,WA,4-year,Non-MSI,62569,TRUE
Whatcom Community College,WA,4-year,Non-MSI,44092,FALSE
Whitman College,WA,4-year,Non-MSI,67589,TRUE
Whitworth University,WA,4-year,Non-MSI,58561,TRUE
Yakima Valley College,WA,4-year,HSI,43499,FALSE
Alderson Broaddus University,WV,4-year,Non-MSI,49556,TRUE
Appalachian Beauty School,KY,Less-than-2-year,Non-MSI,NA,NA
Appalachian Bible College,WV,4-year,Non-MSI,37467,FALSE
B M Spurr School of Practical Nursing,WV,Less-than-2-year,Non-MSI,NA,NA
Ben Franklin Career Center,WV,Less-than-2-year,Non-MSI,37962,FALSE
Bethany College,WV,4-year,Non-MSI,44512,TRUE
Bluefield State University,WV,4-year,HBCU,38217,FALSE
Cabell County Career Technology Center,WV,Less-than-2-year,Non-MSI,33975,FALSE
Charleston School of Beauty Culture,WV,2-Year,Non-MSI,17827,FALSE
University of Charleston,WV,4-year,Non-MSI,55774,TRUE
Clarksburg Beauty Academy and School of Massage Therapy,WV,2-Year,Non-MSI,16306,FALSE
Concord University,WV,4-year,Non-MSI,42703,TRUE
Davis & Elkins College,WV,4-year,Non-MSI,43411,TRUE
Fairmont State University,WV,4-year,Non-MSI,46857,TRUE
Glenville State University,WV,4-year,Non-MSI,39315,FALSE
Huntington Junior College,WV,2-Year,Non-MSI,21783,FALSE
James Rumsey Technical Institute,WV,Less-than-2-year,Non-MSI,45133,TRUE
Ralph R Willis Career and Technical Center,WV,Less-than-2-year,Non-MSI,51465,TRUE
Marshall University,WV,4-year,Non-MSI,46354,TRUE
Mercer County Technical Education Center,WV,2-Year,Non-MSI,33511,FALSE
Monongalia County Technical Education Center,WV,Less-than-2-year,Non-MSI,40499,FALSE
Morgantown Beauty College Inc,WV,2-Year,Non-MSI,22230,FALSE
Mountain State College,WV,2-Year,Non-MSI,25314,FALSE
West Virginia University at Parkersburg,WV,4-year,Non-MSI,35171,FALSE
Potomac State College of West Virginia University,WV,4-year,Non-MSI,55939,TRUE
Academy of Careers and Technology,WV,Less-than-2-year,Non-MSI,32756,FALSE
Salem University,WV,4-year,Non-MSI,34642,FALSE
Shepherd University,WV,4-year,Non-MSI,49358,TRUE
Southern West Virginia Community and Technical College,WV,2-Year,Non-MSI,32153,FALSE
Fred W Eberle Technical Center,WV,2-Year,Non-MSI,43364,TRUE
West Virginia School of Osteopathic Medicine,WV,4-year,Non-MSI,NA,NA
West Virginia State University,WV,4-year,HBCU,40492,FALSE
West Virginia University Hospital Departments of Rad Tech and Nutrition,WV,4-year,Non-MSI,69666,TRUE
West Liberty University,WV,4-year,Non-MSI,43296,TRUE
West Virginia University Institute of Technology,WV,4-year,Non-MSI,55939,TRUE
West Virginia Wesleyan College,WV,4-year,Non-MSI,51593,TRUE
West Virginia Junior College-Charleston,WV,2-Year,Non-MSI,27472,FALSE
West Virginia Junior College-Morgantown,WV,2-Year,Non-MSI,31912,FALSE
International Beauty School 4,WV,2-Year,Non-MSI,18906,FALSE
West Virginia Northern Community College,WV,2-Year,Non-MSI,30162,FALSE
West Virginia University,WV,4-year,Non-MSI,55939,TRUE
Wheeling University,WV,4-year,Non-MSI,57949,TRUE
Wood County Technical Center-Practical Nursing,WV,Less-than-2-year,Non-MSI,40547,FALSE
VICI Beauty School,WI,2-Year,Non-MSI,32393,FALSE
Alverno College,WI,4-year,HSI,53145,TRUE
Madison Area Technical College,WI,4-year,Non-MSI,45413,FALSE
Bellin College,WI,4-year,Non-MSI,76222,TRUE
Beloit College,WI,4-year,Non-MSI,53260,TRUE
Blackhawk Technical College,WI,2-Year,Non-MSI,41620,FALSE
Cardinal Stritch University,WI,4-year,Non-MSI,58698,TRUE
Carroll University,WI,4-year,Non-MSI,58009,TRUE
Carthage College,WI,4-year,Non-MSI,56950,TRUE
Concordia University-Wisconsin,WI,4-year,Non-MSI,56075,TRUE
Edgewood College,WI,4-year,Non-MSI,59728,TRUE
Fox Valley Technical College,WI,2-Year,Non-MSI,45684,FALSE
Gateway Technical College,WI,2-Year,HSI,40264,FALSE
The Professional Hair Design Academy,WI,2-Year,Non-MSI,29587,FALSE
Lakeland University,WI,4-year,Non-MSI,55961,TRUE
Lakeshore Technical College,WI,2-Year,Non-MSI,47113,FALSE
Lawrence University,WI,4-year,Non-MSI,55789,TRUE
Maranatha Baptist University,WI,4-year,Non-MSI,45593,FALSE
Marian University,WI,4-year,Non-MSI,53501,TRUE
Marquette University,WI,4-year,Non-MSI,78257,TRUE
Medical College of Wisconsin,WI,4-year,Non-MSI,NA,NA
Mid-State Technical College,WI,2-Year,Non-MSI,42253,FALSE
Milwaukee Area Technical College,WI,2-Year,Non-MSI,41113,FALSE
Milwaukee Institute of Art & Design,WI,4-year,Non-MSI,41174,FALSE
Milwaukee School of Engineering,WI,4-year,Non-MSI,89070,TRUE
Moraine Park Technical College,WI,2-Year,Non-MSI,44371,FALSE
Mount Mary University,WI,4-year,AANAPII,48745,FALSE
Nashotah House,WI,4-year,Non-MSI,NA,NA
Nicolet Area Technical College,WI,2-Year,Non-MSI,38643,FALSE
Northcentral Technical College,WI,2-Year,Non-MSI,44925,FALSE
Northeast Wisconsin Technical College,WI,2-Year,Non-MSI,44553,FALSE
Northland College,WI,4-year,Non-MSI,44560,FALSE
Ripon College,WI,4-year,Non-MSI,54902,TRUE
Saint Norbert College,WI,4-year,Non-MSI,58363,TRUE
State College of Beauty Culture Inc,WI,Less-than-2-year,Non-MSI,28037,FALSE
Southwest Wisconsin Technical College,WI,2-Year,Non-MSI,43470,FALSE
Viterbo University,WI,4-year,Non-MSI,55660,TRUE
Chippewa Valley Technical College,WI,2-Year,Non-MSI,46297,FALSE
Waukesha County Technical College,WI,2-Year,Non-MSI,46894,FALSE
Western Technical College,WI,2-Year,Non-MSI,45303,FALSE
University of Wisconsin-Whitewater,WI,4-year,Non-MSI,55356,TRUE
Northwood Technical College,WI,2-Year,Non-MSI,43406,FALSE
Wisconsin School of Professional Psychology,WI,4-year,Non-MSI,NA,NA
University of Wisconsin-Eau Claire,WI,4-year,Non-MSI,58561,TRUE
University of Wisconsin-Green Bay,WI,4-year,Non-MSI,52528,TRUE
University of Wisconsin-La Crosse,WI,4-year,Non-MSI,60378,TRUE
Wisconsin Lutheran College,WI,4-year,Non-MSI,54664,TRUE
University of Wisconsin-Oshkosh,WI,4-year,Non-MSI,55548,TRUE
University of Wisconsin-Parkside,WI,4-year,Non-MSI,51129,TRUE
Herzing University-Madison,WI,4-year,AANAPII,36909,FALSE
University of Wisconsin-Stout,WI,4-year,Non-MSI,58084,TRUE
University of Wisconsin-Superior,WI,4-year,Non-MSI,49606,FALSE
University of Wisconsin-Madison,WI,4-year,Non-MSI,73792,TRUE
University of Wisconsin-Milwaukee,WI,4-year,Non-MSI,54990,TRUE
University of Wisconsin-Platteville,WI,4-year,Non-MSI,61760,TRUE
University of Wisconsin-River Falls,WI,4-year,Non-MSI,54458,TRUE
University of Wisconsin-Stevens Point,WI,4-year,Non-MSI,52021,TRUE
Casper College,WY,2-Year,Non-MSI,40935,FALSE
Central Wyoming College,WY,4-year,NANTI,34402,FALSE
Eastern Wyoming College,WY,2-Year,Non-MSI,37121,FALSE
Laramie County Community College,WY,4-year,Non-MSI,44783,FALSE
Northwest College,WY,4-year,Non-MSI,36950,FALSE
Northern Wyoming Community College District,WY,2-Year,Non-MSI,40477,FALSE
Western Wyoming Community College,WY,4-year,Non-MSI,40939,FALSE
Cheeks Beauty Academy,WY,Less-than-2-year,Non-MSI,25459,FALSE
WyoTech,WY,2-Year,Non-MSI,50167,TRUE
University of Wyoming,WY,4-year,Non-MSI,56880,TRUE
American Samoa Community College,AS,4-year,AANAPII,30087,FALSE
Guam Community College,GU,4-year,AANAPII,27820,FALSE
University of Guam,GU,4-year,AANAPII,35946,FALSE
Northern Marianas College,MP,4-year,AANAPII,27836,FALSE
Institute of Beauty Careers,PR,Less-than-2-year,Non-MSI,17713,FALSE
American University of Puerto Rico,PR,4-year,HSI,24470,FALSE
American University of Puerto Rico,PR,4-year,HSI,24470,FALSE
American Educational College,PR,2-Year,Non-MSI,17172,FALSE
Antilles School of Technical Careers,PR,2-Year,Non-MSI,21766,FALSE
Universidad Adventista de las Antillas,PR,4-year,HSI,28465,FALSE
Atlantic University,PR,4-year,HSI,25272,FALSE
Universidad Central de Bayamon,PR,4-year,HSI,25021,FALSE
Columbia Central University-Caguas,PR,4-year,Non-MSI,23134,FALSE
Albizu University-San Juan,PR,4-year,HSI,41544,FALSE
Caribbean University-Bayamon,PR,4-year,HSI,22842,FALSE
Caribbean University-Carolina,PR,4-year,HSI,22842,FALSE
Pontifical Catholic University of Puerto Rico-Arecibo,PR,4-year,HSI,24908,FALSE
Pontifical Catholic University of Puerto Rico-Ponce,PR,4-year,HSI,24908,FALSE
CEM College-San Juan,PR,4-year,Non-MSI,21033,FALSE
Universidad Teologica del Caribe,PR,4-year,Non-MSI,23536,FALSE
Colegio Universitario de San Juan,PR,4-year,HSI,26510,FALSE
Universidad Ana G. Mendez-Cupey Campus,PR,4-year,HSI,24490,FALSE
Puerto Rico Conservatory of Music,PR,4-year,Non-MSI,19474,FALSE
Center for Advanced Studies On Puerto Rico and the Caribbean,PR,4-year,Non-MSI,NA,NA
EDP University of Puerto Rico Inc-San Sebastian,PR,4-year,HSI,22844,FALSE
Emma's Beauty Academy-Mayaguez,PR,Less-than-2-year,Non-MSI,14827,FALSE
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,4-year,HSI,21790,FALSE
Instituto Tecnologico de Puerto Rico-Recinto de Manati,PR,2-Year,HSI,26293,FALSE
Huertas College,PR,4-year,Non-MSI,22927,FALSE
Humacao Community College,PR,4-year,HSI,20064,FALSE
ICPR Junior College-Arecibo,PR,2-Year,Non-MSI,18694,FALSE
ICPR Junior College-Mayaguez,PR,2-Year,Non-MSI,18694,FALSE
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,PR,2-Year,HSI,26293,FALSE
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,PR,2-Year,HSI,26293,FALSE
Inter American University of Puerto Rico-San German,PR,4-year,HSI,25416,FALSE
Inter American University of Puerto Rico-Aguadilla,PR,4-year,HSI,24776,FALSE
Inter American University of Puerto Rico-Arecibo,PR,4-year,HSI,24539,FALSE
Inter American University of Puerto Rico-Barranquitas,PR,4-year,HSI,23204,FALSE
Inter American University of Puerto Rico-Metro,PR,4-year,HSI,30821,FALSE
Inter American University of Puerto Rico-Ponce,PR,4-year,HSI,26721,FALSE
Inter American University of Puerto Rico-Fajardo,PR,4-year,HSI,23132,FALSE
Inter American University of Puerto Rico-Guayama,PR,4-year,HSI,25827,FALSE
Inter American University of Puerto Rico-Bayamon,PR,4-year,HSI,29936,FALSE
Inter American University of Puerto Rico-School of Law,PR,4-year,Non-MSI,NA,NA
