INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Fortis College-Salt Lake City,Salt Lake City,UT,84107,Accrediting Commission of Career Schools and Colleges,-0.10202004072018843,-9.801995695558599,0.556,Non-MSI
Renaissance Academie,Provo,UT,84604,National Accrediting Commission of Career Arts and Sciences,-0.6010478542347995,-1.6637610349231025,0.3476,Non-MSI
American Beauty Academy,Payson,UT,84651,National Accrediting Commission of Career Arts and Sciences,-0.8417141788952238,-1.1880517461551274,0.913,Non-MSI
Mandalyn Academy,American Fork,UT,84003-2161,National Accrediting Commission of Career Arts and Sciences,-0.577275641025641,-1.7322747210038312,0.4552,Non-MSI
Acaydia School of Aesthetics,Provo,UT,84601-0000,National Accrediting Commission of Career Arts and Sciences,-0.5457217306993092,-1.8324357337182833,0.316,Non-MSI
Taylor Andrews Academy of Hair Design-West Jordan,West Jordan,UT,84088-6577,Middle States Commission on Secondary Education,-0.6013689482470784,-1.6628726889123315,0.4173,Non-MSI
Taylor Andrews Academy-St George,St. George,UT,84790,National Accrediting Commission of Career Arts and Sciences,-0.8853224537947306,-1.129531952695575,0.3546,Non-MSI
Avalon Institute-Layton,Layton,UT,84041,National Accrediting Commission of Career Arts and Sciences,-0.11797854606073784,-8.476117339886347,0.4737,Non-MSI
Rocky Mountain University of Health Professions,Provo,UT,84606,Northwest Commission on Colleges and Universities,,,,Non-MSI
Tooele Technical College,Tooele,UT,84074-2093,Council on Occupational Education,,,0.0775,Non-MSI
The Barber School,Midvale,UT,84047-3723,National Accrediting Commission of Career Arts and Sciences,-0.502819653824679,-1.9887846316140136,0.481,Non-MSI
Medspa Academies,South Jordan,UT,84095-3519,National Accrediting Commission of Career Arts and Sciences,-0.5295483946842291,-1.8884015323968686,0.2681,Non-MSI
Midwives College of Utah,Salt Lake City,UT,84106,Midwifery Education Accreditation Council,-0.3237408778804328,-3.088890122702793,0.381,Non-MSI
Top Nails & Hair Beauty School,Taylorsville,UT,84118-0000,National Accrediting Commission of Career Arts and Sciences,,,0.0506,Non-MSI
Bonnie Joseph Academy of Cosmetology & Barbering,Heber City,UT,84032-2044,National Accrediting Commission of Career Arts and Sciences,-1.266240157480315,-0.7897396035755927,0.2286,Non-MSI
Taylor Andrews Academy of Hair Design-Provo,Provo,UT,84604,Middle States Commission on Secondary Education,-0.5807002837245293,-1.7220587418799622,0.4009,Non-MSI
American Beauty Academy-West Valley Campus,West Valley City,UT,84119,National Accrediting Commission of Career Arts and Sciences,-0.7151195108393552,-1.3983676642052079,0.8804,Non-MSI
